policy,run_idx,ok,standing_ok,gate_tilt_deg,pos_rmse,pos_mae,pos_max,vel_rmse,vel_mae,vel_max,ori_rmse_deg,ori_max_deg,coverage,n_samples,motion,reason
srb_traj_backflip_0,0,True,True,1.1038336532368354,0.10205995745198222,0.07036655954701788,0.7629668265581131,1.1736782678663862,0.4022967859215377,43.13378715515137,4.465586386492236,17.942784236841057,1.0,882,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,1,True,True,1.211163062238291,0.10396689567442424,0.07223243059884432,0.6862987279891968,1.1478457340354695,0.4344879702564761,24.664703369140625,4.832607010047149,17.83956032596842,1.0,881,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,2,True,True,0.400575537500511,0.10422160322688706,0.07135507618473036,0.676115021109581,1.1398488759531424,0.42053518223471004,37.18486976623535,4.540353268483474,20.04700355608898,1.0,882,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,3,True,True,0.36192540850685057,0.10205143437493273,0.07077492255397826,0.7179823815822601,1.1526942614453501,0.3940284046306368,40.607919692993164,4.2513345400986875,16.683628016002693,1.0,881,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,4,True,True,1.1458757381734785,0.10072095954407237,0.07103380965574113,0.7135689705610275,1.1265083384979173,0.4113342215237882,39.422712326049805,4.3918178229357965,16.039276824570194,1.0,883,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,5,True,True,1.4031636851520988,0.10539592982593259,0.0728056644306669,0.838629812002182,1.2492362834732287,0.43665818781105886,43.65640068054199,5.346788520592356,22.626439445194503,1.0,882,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,6,True,True,0.843166074962309,0.10525374119379277,0.07231948533103491,0.7198380008339882,1.2126213834384623,0.44597165057120636,41.40463829040527,5.115468162878152,26.48420339500801,1.0,882,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,7,True,True,0.3295074111583154,0.10124871299361068,0.07044550929214488,0.5414409637451172,0.9974111026911374,0.3941593260987427,27.688125610351562,4.282495079920681,17.42253836840773,1.0,883,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,8,True,True,0.46224908481586546,0.10106777212677896,0.06966764441360365,0.5084134936332703,0.9793974749287309,0.38044524244353584,26.05044937133789,3.9204360390231994,16.56366534317924,1.0,882,ablation/srb_traj_backflip.npz,
srb_traj_backflip_0,9,True,True,0.5143512957124365,0.10146997664179552,0.06997691174850161,0.7383091002702713,1.13932828140857,0.406086574499662,41.92316246032715,4.315528650693445,20.176013512922637,1.0,882,ablation/srb_traj_backflip.npz,
