policy,valid,total,pos_rmse_mean,pos_rmse_std,vel_rmse_mean,vel_rmse_std,ori_rmse_deg_mean,ori_rmse_deg_std
kino_backflip_1,15,15,0.39161010001845026,0.0538899874760741,3.700565079487265,0.45879489919798405,89.45436910901857,10.300848687539794
kino_backflip_2,15,15,0.4081309761375197,0.014554998051868676,5.05373507752581,0.18891541222484926,83.50728550046162,2.793781504890477
kino_backflip_3,15,15,0.39612092014448497,0.04234538628882154,3.756406146951383,0.3377375703285686,86.56574907009359,6.077072566910421
srb_ik_backflip_1,15,15,0.383485207692762,0.011108224346816891,4.468912151210342,0.2848381032445532,85.38737784234733,4.383637754693359
srb_ik_backflip_2,15,15,0.4108517904066376,0.023065124261530564,5.036823898655469,0.4718611952443967,87.2248706140677,6.502346373724082
srb_ik_backflip_3,15,15,0.4089649318667756,0.016087334050603936,5.311823012010707,0.2970237706042311,92.77955754630482,10.85811226021493
srb_traj_backflip_0,15,15,0.1025325446380915,0.001970586455061725,1.0657584403935172,0.12405820411649893,4.488528033804404,0.7544844541155644
srb_traj_backflip_1,15,15,0.10701709020479287,0.002176350902407522,1.079405403634541,0.11214688188704348,4.7564266411286225,0.5541396525537102
srb_traj_backflip_2,15,15,0.10286647141828763,0.0015173070606062714,1.0766518687967355,0.0935439316694807,4.42727794472406,0.3916174378859983
traj_opt_kino_1,15,15,0.1411500181231105,0.002293427438902775,1.4928841356150528,0.15269964983722206,8.601614225825497,0.7341180021389508
traj_opt_kino_3,15,15,0.12035139089926597,0.0023130021088423,1.222634834913758,0.1021591321698212,6.229438422817699,0.8297856900102268
traj_opt_kino_4,15,15,0.12204703106096075,0.002365830335862064,1.3072118465973184,0.11609055126508384,5.7170104752649875,0.5882976590739366
