policy,motion,n_states,norm_pos_sum,norm_vel_sum,norm_ori,total_norm_error,mean_norm_error
kino_backflip_1,ablation/kino_backflip.npz,33,17.55033957474453,10.66732712926192,0.525512230409518,28.74317893441597,0.8710054222550294
kino_backflip_2,ablation/kino_backflip.npz,33,19.35986418637461,14.991813992570403,0.48761772617811855,34.83929590512313,1.0557362395491858
kino_backflip_3,ablation/kino_backflip.npz,33,14.69578932538483,10.37255464878634,0.5064508994593004,25.57479487363047,0.7749937840494082
srb_ik_backflip_1,ablation/srb_backflip.npz,13,2.162760365146369,2.0809187110350345,0.4902223011506049,4.733901377332009,0.3641462597947699
srb_ik_backflip_2,ablation/srb_backflip.npz,13,2.1535673660977324,2.3296390833562968,0.5015059756060298,4.984712425060058,0.3834394173123122
srb_ik_backflip_3,ablation/srb_backflip.npz,13,2.0915587922655785,2.6305102838892522,0.5356170698489482,5.257686146003779,0.40443739584644456
srb_traj_backflip_0,ablation/srb_traj_backflip.npz,59,17.21688056148558,6.385189418120923,0.025395880979146294,23.62746586058565,0.40046552306077376
srb_traj_backflip_1,ablation/srb_traj_backflip.npz,59,15.457966102062471,5.342119871544236,0.02664201371169024,20.826727987318396,0.35299538961556604
srb_traj_backflip_2,ablation/srb_traj_backflip.npz,59,12.047864701573852,5.902810175065751,0.02472746323887871,17.97540233987848,0.3046678362691268
traj_opt_kino_1,ablation/traj_kino_backflip.npz,59,8.96281560550479,7.4636994503722685,0.04824765127318895,16.474762707150248,0.2792332662228856
traj_opt_kino_3,ablation/traj_kino_backflip.npz,59,6.724968480171362,5.4443734881839845,0.03512272970194487,12.204464698057292,0.20685533386537783
traj_opt_kino_4,ablation/traj_kino_backflip.npz,59,7.809199628780063,5.888676228084096,0.03212126234842541,13.729997119212584,0.2327118155798743
