policy,motion,pos_term,vel_term,ori_term,combined_error
kino_backflip_1,ablation/kino_backflip.npz,0.12461021695715377,0.16410354538786748,0.5002631629132773,0.7889769252582985
kino_backflip_2,ablation/kino_backflip.npz,0.1251308435059491,0.21720421994338446,0.46418936016075607,0.8065244236100897
kino_backflip_3,ablation/kino_backflip.npz,0.12179625975975653,0.16090281898185657,0.48211766380079873,0.7648167425424118
srb_ik_backflip_1,ablation/srb_backflip.npz,0.12334119662729516,0.17938983011657703,0.47500023752859133,0.7777312642724635
srb_ik_backflip_2,ablation/srb_backflip.npz,0.1343018556660635,0.20524840196655436,0.4859335386736886,0.8254837963063064
srb_ik_backflip_3,ablation/srb_backflip.npz,0.1391605985235998,0.21858866185885018,0.5189854374341423,0.8767346978165922
srb_traj_backflip_0,ablation/srb_traj_backflip.npz,0.036655469394313606,0.04503113318745866,0.025358996086237005,0.10704559866800928
srb_traj_backflip_1,ablation/srb_traj_backflip.npz,0.03909127307278842,0.04246268431625549,0.0266033189397526,0.1081572763287965
srb_traj_backflip_2,ablation/srb_traj_backflip.npz,0.038755452679991746,0.04216732811031601,0.024691549153668065,0.10561432994397582
traj_opt_kino_1,ablation/traj_kino_backflip.npz,0.05253186844248453,0.06504517306723469,0.04796047000452754,0.16553751151424675
traj_opt_kino_3,ablation/traj_kino_backflip.npz,0.0454506429092067,0.05218045898239448,0.03491367102637238,0.13254477291797356
traj_opt_kino_4,ablation/traj_kino_backflip.npz,0.04628798349864192,0.05646683277739719,0.03193006910629234,0.13468488538233145
